gene_id,gene_symbol,gene_name,organism,p_value,sample,change_type,change_evaluation_by,sex,measurement_method,statistical_method,age_units,min_age_of_controls,max_age_of_controls,min_age_of_experiment,max_age_of_experiment,n_of_controls,n_of_experiment,reference,fc,log_fc,change_value,q-value
,ASXL1,,human,"0,0082975",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,2",,20,
,ATBF1,,human,"0,0405993",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,4",,40,
,ATM,,human,"0,0011142",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,2",,20,
,ATP1B4,,human,"0,0044477",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,6",,60,
,ATP5C1,,human,"0,0005198",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,ATP5G1,,human,"0,0359407",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,ATP5G3,,human,"0,00000328",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,ATP5H,,human,"0,00000263",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,ATP5I,,human,"0,0060339",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,ATP5J,,human,"0,0010358",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,BCL2,,human,"0,0144136",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,BHLHB3,,human,"0,0045138",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,BIA2,,human,"0,0090127",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,4",,40,
,BRF2,,human,"0,0309779",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,2",,20,
,BRP44L,,human,"0,0001177",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,C10orf35,,human,"0,001236",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,3",,30,
,C10orf45,,human,"0,0007116",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,3",,30,
,C10orf70,,human,"0,0000552",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,C14orf10,,human,"0,0270329",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,C14orf108,,human,"0,0007312",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,C14orf109,,human,"0,0007087",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,C14orf142,,human,"0,0000155",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,C14orf147,,human,"0,0398956",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,C14orf2,,human,"0,0002936",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,C14orf8,,human,"0,0001786",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,C1orf33,,human,"0,0071661",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,4",,40,
,C1QB,,human,"0,012088",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,8",,80,
,C1S,,human,"0,0135523",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,5",,50,
,C20orf110,,human,"0,0311489",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,C20orf132,,human,"0,000909",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,C20orf149,,human,"0,0024726",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,5",,50,
,C20orf26,,human,"0,00000668",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,2,,100,
,C21orf5,,human,"0,00002",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,C21orf7,,human,"0,0069196",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,7",,70,
,C2orf28,,human,"0,0412855",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,C2orf7,,human,"0,0001507",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,C3orf18,,human,"0,0286738",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,C6orf136,,human,"0,0001373",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,C6orf203,,human,"0,00000455",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,C6orf37,,human,"0,0000257",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,4",,40,
,C6orf51,,human,"0,021668",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,C6orf66,,human,"0,0000108",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,C6orf74,,human,"0,000000125",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,C6orf79,,human,"0,0112083",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,C7orf24,,human,"0,0032484",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,C7orf25,,human,"0,0463852",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,9",,-10,
,C9orf23,,human,"0,0195609",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,C9orf46,,human,"0,0005905",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,C9orf85,,human,"0,0032294",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,4",,40,
,C9orf85,,human,"0,0049461",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,CACNG1,,human,"0,0027982",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,4",,40,
,CAMTA1,,human,"0,00004",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,4",,40,
,CBLB,,human,"0,00000543",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,4",,40,
,CCNL2,,human,"0,0002886",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,4",,40,
,CD14,,human,"0,0026249",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,4",,40,
,CD97,,human,"0,0165357",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,3",,30,
,CDC14B,,human,"0,000000012",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,6",,-40,
,CDC26,,human,"0,0030951",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,CDKN1A,,human,"0,00000112",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"2,5",,150,
,CDKN2B,,human,"0,0003911",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,4",,40,
,CDKN2C,,human,"0,0083752",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,CDO1,,human,"0,0290323",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,3",,30,
,CEBPB,,human,"0,0092538",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,6",,60,
,CGI-119,,human,"0,02595",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,4",,40,
,CGI-30,,human,"0,0038586",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,CGI-38,,human,"0,0000387",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"2,1",,110,
,CHAD,,human,"0,00000359",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"2,1",,110,
,CHCHD3,,human,"0,00000585",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,CHCHD4,,human,"0,0001932",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,CHTF18,,human,"0,0002308",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,2",,20,
,CIRBP,,human,"0,001859",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,3",,30,
,CKMT2,,human,"0,0000122",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,CLSTN1,,human,"0,0120302",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,3",,30,
,COBLL1,,human,"0,0042502",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,3",,30,
,COL4A5,,human,"0,023296",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,4",,40,
,COPS5,,human,"0,0407384",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,COPS6,,human,"0,0233889",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,9",,-10,
,COQ3,,human,"0,0004605",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,COX10,,human,"0,0211274",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,COX7A2,,human,"0,0090613",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,COX7A3,,human,"0,0235481",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,CRADD,,human,"0,00000000307",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,CREB1,,human,"0,0022288",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,4",,40,
,CRIM1,,human,"0,01047",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,3",,30,
,CRKL,,human,"0,0487562",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,2",,20,
,CRY2,,human,"0,0012122",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,4",,40,
,CRYAB,,human,"0,0076121",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,3",,30,
,CS,,human,"0,0149924",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,CSRP2BP,,human,"0,0145157",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,CTH,,human,"0,0002708",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,4",,40,
,CXXC1,,human,"0,0009679",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,2",,20,
,CYCS,,human,"0,0013198",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,CYP1B1,,human,"0,0007851",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,6",,60,
,DAT1,,human,"0,0168009",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,2",,20,
,DATF1,,human,"0,0001211",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,3",,30,
,DC13,,human,"0,00000164",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,DCLRE1C,,human,"0,001088",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,2",,20,
,DCOHM,,human,"0,0000706",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,DDX17,,human,"0,0011983",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,4",,40,
,DDX23,,human,"0,000000666",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,3",,30,
,DDX42,,human,"0,0457825",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,2",,20,
,DDX55,,human,"0,014281",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,2",,20,
,DECR1,,human,"0,0000104",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,DEXI,,human,"0,001243",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,DKFZp434B1231,,human,"0,0067126",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,3",,-70,
,DKFZp434G0522,,human,"0,0016041",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,2",,20,
,DKFZP434K046,,human,"0,0093399",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,DKFZP434K046,,human,"0,0013383",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,DKFZp434K2435,,human,"0,0002237",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,DKFZp547H074,,human,"0,0000538",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"2,1",,110,
,DKFZP564I0422,,human,"0,0185698",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,DKFZP566A1524,,human,"0,0001503",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,DKFZp586C1924,,human,"0,0476248",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,DLAT,,human,"0,0005478",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,DLD,,human,"0,0003797",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,DLEU1,,human,"0,000000337",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,DLNB14,,human,"0,0000457",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,3",,30,
,DMRT2,,human,"0,0066519",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,6",,-40,
,DNAJC7,,human,"0,0008352",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,DNM1L,,human,"0,0185575",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,DPF2,,human,"0,0003732",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,2",,20,
,DUSP19,,human,"0,0010624",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,5",,50,
,DZIP3,,human,"0,00247",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,ECHDC1,,human,"0,0001423",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,EIF2C4,,human,"0,0273712",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,9",,-10,
,EIF4EBP1,,human,"0,0266521",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,ENPP5,,human,"0,0419752",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,EPB41L3,,human,"0,0000151",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,8",,80,
,ETFDH,,human,"0,0005859",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,EVA1,,human,"0,0000198",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,4",,40,
,F13A1,,human,"0,0297846",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,5",,50,
,FAAH,,human,"0,0476185",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,2",,20,
,FABP3,,human,"0,0002033",muscle,decreased gene expression,mRNA,both,"microarray, qPCR",Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,6",,-40,
,FANCG,,human,"0,029003",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,1",,10,
,FBLN1,,human,"0,0002331",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,4",,40,
,FBLN1,,human,"0,0003156",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,2",,20,
,FBLN5,,human,"0,0013681",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,3",,30,
,FBXO21,,human,"0,0406216",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,3",,30,
,FBXO22,,human,"0,0305141",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,9",,-10,
,FDXR,,human,"0,0034018",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,4",,40,
,FEZ2,,human,"0,00000289",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,8",,80,
,FIGF,,human,"0,0021199",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,2",,20,
,FKBP14,,human,"0,0221574",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,5",,50,
,FKSG28,,human,"0,00000856",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,6",,-40,
,FLJ10055,,human,"0,0296605",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,FLJ10178,,human,"0,0000000302",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,4",,40,
,FLJ10514,,human,"0,0074112",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,FLJ10637,,human,"0,0348952",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,FLJ11106,,human,"0,0353204",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,5",,50,
,FLJ11267,,human,"0,0000143",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,2",,20,
,FLJ12770,,human,"0,0001009",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,FLJ12892,,human,"0,0057968",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,3",,30,
,FLJ13621,,human,"0,0000623",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,4",,40,
,FLJ14345,,human,"0,0010586",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,4",,40,
,FLJ14431,,human,"0,0000669",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,4",,40,
,FLJ14466,,human,"0,0458572",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,FLJ14600,,human,"0,0011779",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,FLJ14624,,human,"0,0423046",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,8",,-20,
,FLJ14668,,human,"0,0000339",muscle,decreased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"0,7",,-30,
,FLJ20719,,human,"0,0369189",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,2",,20,
,FLJ20972,,human,"0,0386656",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,4",,40,
,FLJ21106,,human,"0,0047308",muscle,increased gene expression,mRNA,both,microarray,Student t-test,Years,18,28,65,84,26,25,10.1371/journal.pone.0000465,"1,4",,40,
